index,result
1,6
4,9
8,2
9,7
11,2
15,3
20,7
22,2
24,9
25,2
27,9
38,3
44,2
45,3
46,5
47,6
48,9
53,3
54,2
55,5
61,2
63,2
64,2
65,5
66,2
69,9
73,7
77,7
78,7
80,9
84,9
85,9
97,3
99,4
102,9
107,8
110,2
115,6
116,9
119,7
120,3
122,9
126,2
128,3
129,9
133,2
134,3
136,6
141,9
146,2
149,5
151,2
152,4
153,3
157,6
159,9
165,3
167,6
169,9
170,9
175,3
181,2
184,3
187,3
198,9
202,2
207,3
210,9
211,3
212,4
215,2
217,5
218,7
220,9
224,2
230,2
232,6
233,7
234,3
240,3
241,3
243,3
245,5
246,2
247,6
250,9
253,3
255,3
257,6
258,6
260,5
261,2
264,5
266,5
268,3
271,2
277,3
289,3
290,9
295,9
299,3
300,6
301,2
303,6
304,9
305,2
307,9
311,6
317,7
319,3
320,1
321,7
325,9
326,6
333,3
335,2
338,2
340,2
341,9
344,3
346,9
349,9
352,3
353,2
356,3
357,3
358,9
362,7
364,3
365,5
367,2
370,3
372,2
373,2
376,9
380,2
383,3
388,2
389,3
391,2
395,3
397,3
399,9
403,9
406,3
407,9
412,3
417,7
420,9
421,0
424,6
428,9
429,9
432,9
433,4
435,7
443,9
445,0
446,2
448,3
449,2
451,2
453,2
457,5
459,2
460,9
464,7
465,9
468,2
469,9
475,2
478,6
479,3
483,0
486,9
491,9
495,6
497,9
502,2
507,5
509,3
511,7
512,1
514,2
518,3
519,9
520,2
522,9
523,8
527,2
531,6
532,9
538,2
540,3
541,9
542,9
543,3
550,9
551,1
552,6
553,6
559,4
563,9
565,9
569,5
570,9
571,9
572,9
578,2
580,2
582,2
586,2
588,3
589,9
590,2
591,3
593,7
596,9
597,4
599,4
601,2
603,9
604,9
606,2
610,6
611,6
612,6
613,8
615,8
618,3
619,5
625,4
628,9
631,9
633,6
638,9
641,9
645,3
646,6
654,3
656,3
658,9
659,9
661,2
664,2
665,2
668,9
671,4
674,2
679,3
684,3
685,2
689,9
691,9
692,7
693,6
707,9
708,9
712,9
717,6
720,2
723,9
726,3
728,8
729,5
730,9
738,3
739,3
740,9
748,9
751,3
756,3
757,9
761,2
763,2
766,2
771,9
774,9
779,8
780,5
781,3
785,3
787,2
789,9
791,9
795,6
797,8
800,3
806,2
810,2
812,3
813,7
827,7
839,2
844,3
849,2
857,2
864,9
866,9
869,3
872,2
874,7
876,3
877,2
878,2
879,5
881,3
884,6
895,5
898,8
900,3
902,9
904,2
915,3
919,6
924,7
931,9
935,9
936,6
937,2
939,9
943,5
946,3
947,9
950,2
951,4
955,6
956,6
959,9
960,9
961,3
962,7
963,3
965,0
966,7
968,9
970,9
971,9
975,3
978,3
985,8
993,9
998,9
999,7
